timestamp,rate
2026-03-31 20:28,0.18662
2026-03-31 23:54,0.18668
2026-04-01 14:13,0.18668
2026-04-01 16:22,0.18668
2026-04-01 19:31,0.18668
2026-04-02 00:10,0.18647
2026-04-02 13:52,0.18647
2026-04-02 15:55,0.18647
2026-04-02 18:39,0.18647
2026-04-02 23:39,0.1866
2026-04-03 18:08,0.1866
2026-04-03 22:31,0.1866
2026-04-04 13:15,0.1866
2026-04-04 15:34,0.1866
2026-04-04 17:56,0.1866
2026-04-04 22:05,0.1866
2026-04-05 13:56,0.1866
2026-04-05 15:41,0.1866
2026-04-05 17:59,0.1866
2026-04-05 22:06,0.1866
2026-04-06 14:19,0.1866
2026-04-06 16:54,0.1866
2026-04-06 19:15,0.1866
2026-04-06 22:39,0.1866
2026-04-07 13:59,0.1866
2026-04-07 16:19,0.1866
2026-04-07 19:31,0.1866
2026-04-08 00:16,0.18734
2026-04-08 14:06,0.18734
2026-04-08 16:18,0.18734
2026-04-08 19:33,0.18734
2026-04-09 00:20,0.18637
2026-04-09 14:06,0.18637
2026-04-09 16:51,0.18637
2026-04-09 19:33,0.18637
2026-04-10 00:49,0.18646
2026-04-10 14:19,0.18646
2026-04-10 16:53,0.18646
2026-04-10 19:13,0.18646
2026-04-11 13:19,0.18656
2026-04-11 15:35,0.18656
2026-04-11 18:02,0.18656
2026-04-11 22:07,0.18656
2026-04-12 14:11,0.18656
